                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82513,                  2.663,                 1.4241,                0.00333,                      1,                0.98338,                 0.8199,                 0.4487,                  2.949,                 1.1794,                0.00012,                0.00012,                0.00012
                      2,                0.66199,                 1.5718,                  1.236,                0.00333,                      1,                0.99207,                0.79004,                 0.5451,                 2.7125,                 1.1523,             0.00025743,             0.00025743,             0.00025743
                      3,                0.73664,                 1.0241,                 1.3129,                0.99633,                      1,                  0.995,                0.86981,                0.52133,                 2.2932,                  1.136,             0.00039208,             0.00039208,             0.00039208
                      4,                0.62187,                 0.9046,                  1.125,                0.99465,                      1,                  0.995,                0.79096,                0.65408,                 2.0722,                  1.345,             0.00052396,             0.00052396,             0.00052396
                      5,                0.63233,                 1.0649,                 1.1713,                0.99707,                      1,                  0.995,                0.86336,                0.54699,                 1.7489,                 1.2112,             0.00065307,             0.00065307,             0.00065307
                      6,                0.64262,                 1.0508,                 1.1729,                0.98976,                      1,                  0.995,                0.83092,                0.70261,                 2.3951,                 1.4531,             0.00077941,             0.00077941,             0.00077941
                      7,                0.62613,                0.88708,                 1.0996,                0.94031,                      1,                0.99035,                0.81899,                0.67423,                 2.0162,                 1.3373,             0.00090298,             0.00090298,             0.00090298
                      8,                0.61361,                0.79604,                 1.1243,                0.99797,                      1,                  0.995,                0.69668,                0.96874,                 1.7402,                 1.8422,              0.0010238,              0.0010238,              0.0010238
                      9,                0.73595,                0.86367,                 1.2044,                0.99928,                  0.975,                0.99451,                 0.8141,                0.60873,                 1.7322,                 1.2381,              0.0011418,              0.0011418,              0.0011418
                     10,                0.66123,                 1.0245,                 1.1713,                0.99821,                      1,                  0.995,                0.85105,                0.55127,                 1.5694,                 1.1636,               0.001257,               0.001257,               0.001257
                     11,                0.60671,                0.78358,                 1.1259,                0.99194,                      1,                  0.995,                0.82437,                0.58847,                 1.5214,                 1.1931,              0.0013695,              0.0013695,              0.0013695
                     12,                0.67424,                0.77778,                 1.1193,                0.77278,                0.76539,                0.87438,                 0.4407,                 1.8975,                 2.1245,                 3.3428,              0.0014792,              0.0014792,              0.0014792
                     13,                0.72188,                0.80492,                 1.2034,                0.91635,                      1,                0.99085,                0.57003,                 1.7884,                 2.0042,                 3.3017,              0.0015862,              0.0015862,              0.0015862
                     14,                0.72818,                0.71853,                 1.1169,                 0.9937,                      1,                  0.995,                0.45784,                 2.0693,                  2.466,                 3.5204,              0.0016903,              0.0016903,              0.0016903
                     15,                0.67131,                 0.7637,                  1.152,                0.97554,                0.99731,                 0.9889,                0.61602,                 1.5848,                  1.857,                 3.0058,              0.0017228,              0.0017228,              0.0017228
                     16,                0.74257,                 0.8315,                 1.2914,                0.93906,                  0.975,                0.99285,                0.81071,                0.71241,                 1.3985,                 1.2301,              0.0017228,              0.0017228,              0.0017228
                     17,                0.75994,                0.73029,                 1.2237,                0.84929,                  0.975,                0.93705,                0.53507,                0.99836,                 1.7478,                  1.475,               0.001703,               0.001703,               0.001703
                     18,                0.68147,                0.68853,                 1.1386,                0.71471,                   0.65,                0.80358,                0.50853,                 1.1156,                 1.8262,                 1.8232,              0.0016832,              0.0016832,              0.0016832
                     19,                 0.6823,                0.68242,                 1.1951,                 0.9306,                   0.95,                0.98808,                0.86881,                0.69281,                 1.0599,                 1.2636,              0.0016634,              0.0016634,              0.0016634
